Type,Date,Num,Source-Name,Part-Num,Item-Description,Location,Unit-Qty,Unit-Price,Cost,Cat1
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",656.306,2.0,21.52,43.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",660.310,2.0,21.52,43.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",663.302,2.0,21.52,43.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",664.304,2.0,21.52,43.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",740.307,2.0,21.52,43.04,Delivery/Cutoff Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",<Extra>,2.0,21.52,43.04,
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",343.329,3.0,21.04,63.12,Spout Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",344.329,3.0,21.04,63.12,Spout Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",650.311,1.0,21.04,21.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",655.306,1.0,21.04,21.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",660.311,1.0,21.04,21.04,Cap Station
Purchase Order,2023-08-24,55080.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",665.306,1.0,21.04,21.04,Cap Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable",<Extra>,0.0,21.04,0.0,
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",216.314,2.0,25.0,50.0,Unwind/Punch Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",331.313,1.0,25.0,25.0,Spout Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",631.313,1.0,25.0,25.0,Cap Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",651.302,2.0,25.0,50.0,Cap Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",652.302,2.0,25.0,50.0,Cap Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m",<Extra>,2.0,25.0,50.0,
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-12221-6340500,M12 female 0∞ A-cod. 4-Pin with cable 5M,003.333,2.0,26.52,53.04,Spout Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-12221-6340500,M12 female 0∞ A-cod. 4-Pin with cable 5M,213.304,2.0,26.52,53.04,Unwind/Punch Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-12221-6340500,M12 female 0∞ A-cod. 4-Pin with cable 5M,218.308,2.0,26.52,53.04,Unwind/Punch Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-12221-6340500,M12 female 0∞ A-cod. 4-Pin with cable 5M,223.302,2.0,26.52,53.04,Unwind/Punch Station
Purchase Order,2023-10-06,55194.0,"Murrelektronik, Inc.",7000-12221-6340500,M12 female 0∞ A-cod. 4-Pin with cable 5M,<Extra>,2.0,26.52,53.04,
Purchase Order,2023-10-17,55216.0,Automation Direct,7000-13201-3310500,"Murrelektronik connection cable, M12 axial female to pigtail, 4-pole, PUR jacket, gray, shielded...",,0.0,26.0,0.0,
Purchase Order,2023-09-27,55172.0,Automation Direct,7000-74011-0000000,"MURR FIELD CONNECTOR, RJ45, 8-PIN, IDC",,20.0,23.0,460.0,
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,7162K62,"Turn-Lock Connector, Three-Blade Straight Plug, Grounded, NEMA L7-30",473.303,6.0,31.33,187.98,Side Seal Station
Purchase Order,2023-09-15,55152.0,McMaster-Carr Supply Co.,7162K62,"Turn-Lock Connector, Three-Blade Straight Plug, Grounded, NEMA L7-30",514.303,2.0,31.33,62.66,Cross Seal Station
Purchase Order,2023-09-15,55152.0,McMaster-Carr Supply Co.,7162K62,"Turn-Lock Connector, Three-Blade Straight Plug, Grounded, NEMA L7-30",515.303,2.0,31.33,62.66,Cross Seal Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,7162K64,"Turn-Lock Connector 3-Slot Single Female Receptacle, Grounded, NEMA L7-30",473.301,6.0,33.19,199.14,Side Seal Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,7162K64,"Turn-Lock Connector 3-Slot Single Female Receptacle, Grounded, NEMA L7-30",514.301,2.0,33.19,66.38,Cross Seal Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,7162K64,"Turn-Lock Connector 3-Slot Single Female Receptacle, Grounded, NEMA L7-30",515.301,2.0,33.19,66.38,Cross Seal Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",116.302,28.0,6.79,190.12,Main Frame
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",215.301,16.0,6.79,108.64,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",216.308,12.0,6.79,81.48,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",221.301,4.0,6.79,27.16,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",222.301,4.0,6.79,27.16,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",251.301,4.0,6.79,27.16,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",252.301,2.0,6.79,13.58,Unwind/Punch Station
Purchase Order,2023-07-17,54997.0,Quality Bearings and Components,7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oi...",<Extra>,30.0,6.79,203.7,
Purchase Order,2022-11-11,54540.0,Quality Bearings and Components,7616DLG,INSERT BEARING WITH SHIELDS,,3.0,10.0,30.0,
Purchase Order,2023-01-10,54676.0,Quality Bearings and Components,7616DLG-OIL,"INSERT BEARING WITH SHIELD, OIL LUBE ONLY, NO GREASE",,4.0,10.0,40.0,
Purchase Order,2023-08-22,55086.0,McMaster-Carr Supply Co.,7758K31,"PUSH-BUTTON WASHDOWN ENCLOSURE FOR 22 mm BUTTON, 1 HOLE, 3-1/2""  HIGH, 3-1/2"" WIDE, 2-3/8"" DEEP",,6.0,20.03,120.18,
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",001.395,6.0,0.0,0.0,Main Controls
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",002.350,1200.0,0.0,0.0,Unwind/Punch Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",003.326,675.0,0.0,0.0,Spout Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",004.321,900.0,0.0,0.0,Side Seal Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",005.332,900.0,0.0,0.0,Cross Seal Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",006.322,675.0,0.0,0.0,Cap Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",007.323,725.0,0.0,0.0,Spout Station
<Stock>,,,,801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",008.323,725.0,0.0,0.0,Cap Station
Purchase Order,2023-12-04,55322.0,McMaster-Carr Supply Co.,8023N11,Electronic Vacuum Switch for Compressed Air,,2.0,82.07,164.14,
Purchase Order,2023-11-01,55264.0,McMaster-Carr Supply Co.,8082K21,"Continuous-Flex Cable, 300V AC, Seven 18-Gauge Wires",,2.0,340.0,680.0,
Purchase Order,2023-08-23,55094.0,McMaster-Carr Supply Co.,8739K43,"White DelrinÆ Acetal Resin Bar, 3/4"" Thick, 1-1/2"" WideX 2' Long",,1.0,39.86,39.86,
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,8751,ELESA Wing Nut 8751 CTL.476/40 p-M8x16,331.310,2.0,1.97,3.94,Spout Station
Purchase Order,2023-08-24,55075.0,Elesa USA Corp.,8751,ELESA Wing Nut 8751 CTL.476/40 p-M8x16,631.310,2.0,1.97,3.94,Cap Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,8903T11,"Mil. Spec. Signal/Power Connector Plug, Internal Thread, 2 Poles, MS3106F10SL-4P",342.307,2.0,48.26,96.52,Spout Station
Purchase Order,2023-08-24,55087.0,McMaster-Carr Supply Co.,8903T41,"Mil. Spec. Signal/Power Connector Receptacle, External Thread, 2 Poles, MS3102R10SL-4S",342.308,2.0,16.36,32.72,Spout Station
Purchase Order,2023-08-23,55094.0,McMaster-Carr Supply Co.,8910K584,"Low-Carbon Steel Bar, 1/4"" Thick, 4"" Wide X 2' Long",,1.0,53.21,53.21,
Purchase Order,2023-11-29,55318.0,McMaster-Carr Supply Co.,8934K18,"6ft length, Tight-Tolerance Multipurpose 304 Stainless Steel Rod, 3/4"" Diameter",,1.0,163.15,163.15,
Purchase Order,2023-12-04,55322.0,McMaster-Carr Supply Co.,8981T65,"Vibration-Damping Routing Clamp, Zinc-Plated  Steel with SBR Rubber Cushion, 3/4"" ID",,2.0,4.42,8.84,
Purchase Order,2023-11-27,55311.0,McMaster-Carr Supply Co.,8986K49,"3ft Length, Tight-Tolerance Easy-to-Machine 303 Stainless Steel Bar, 3/4"" Thick, 3/4"" Wide",,1.0,106.5,106.5,
Purchase Order,2023-12-06,55328.0,McMaster-Carr Supply Co.,8986K49,"3ft Length, Tight-Tolerance Easy-to-Machine 303 Stainless Steel Bar, 3/4"" Thick, 3/4"" Wide",,1.0,185.21,185.21,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",217.318,0.3,9.4,2.82,Unwind/Punch Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",342.321,0.4,9.4,3.7600000000000002,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",343.316,0.1,9.4,0.9400000000000001,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",344.316,0.1,9.4,0.9400000000000001,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",<Extra>,1.0999999999999996,9.4,10.339999999999996,
Purchase Order,2023-10-18,55218.0,McMaster-Carr Supply Co.,90128A256,"Zinc-Plated Alloy Steel Socket Head Cap Screw, M5 Thread, 30 mm Long, packs of 100",,1.0,13.92,13.92,
Purchase Order,2023-10-27,55253.0,McMaster-Carr Supply Co.,90128A262,"Zinc-Plated Alloy Steel Socket Head Screw  M6 x 1 mm Thread, 12 mm Long, pkg 100",,1.0,10.91,10.91,
Purchase Order,2023-11-08,55277.0,McMaster-Carr Supply Co.,90128A262,"Zinc-Plated Alloy Steel Socket Head Screw  M6 x 1 mm Thread, 12 mm Long, pkg 100",,2.0,10.91,21.82,
Purchase Order,2023-09-14,55151.0,McMaster-Carr Supply Co.,90128A263,"Zinc-Plated Alloy Steel Socket Head Cap Screw, M6 Thread, 16 mm Long, packs of 100",,1.0,12.18,12.18,
Purchase Order,2023-10-09,55198.0,McMaster-Carr Supply Co.,90128A265,"Zinc-Plated Alloy Steel Socket Head Cap Screw, M6 Thread, 25 mm Long, packs of 100",,1.0,15.52,15.52,
Purchase Order,2023-10-27,55253.0,McMaster-Carr Supply Co.,90128A265,"Zinc-Plated Alloy Steel Socket Head Cap Screw, M6 Thread, 25 mm Long, packs of 100",,2.0,15.52,31.04,
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,90154A273,"External Retaining Ring for 12 mm OD, Zinc-Chromate-Plated Spring Steel, 100pk",540.305,24.0,0.1177,2.8247999999999998,Cross Seal Station
Purchase Order,2023-09-27,55167.0,McMaster-Carr Supply Co.,90154A273,"External Retaining Ring for 12 mm OD, Zinc-Chromate-Plated Spring Steel, 100pk",<Extra>,76.0,0.1177,8.9452,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90154A397,"External Retaining Ring for 17 mm OD, Zinc-Chromate-Plated Spring Steel, PKG 50",250.303,2.0,0.1764,0.3528,Unwind/Punch Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90154A397,"External Retaining Ring for 17 mm OD, Zinc-Chromate-Plated Spring Steel, PKG 50",<Extra>,48.0,0.1764,8.4672,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90154A499,"External Retaining Ring for 21 mm OD, Zinc-Chromate-Plated Spring Steel, 25pk",342.316,8.0,0.34759999999999996,2.7807999999999997,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90154A499,"External Retaining Ring for 21 mm OD, Zinc-Chromate-Plated Spring Steel, 25pk",<Extra>,17.0,0.34759999999999996,5.909199999999999,
Purchase Order,2023-10-18,55218.0,McMaster-Carr Supply Co.,90154A511,"External Retaining Ring  for 22 mm OD, Zinc-Chromate-Plated Spring Steel, PKG 25",,1.0,9.0,9.0,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A418,"316 Stainless Steel Ring Shim 0.5mm Thick, 8mm ID, 10pk",140.312,1.0,1.248,1.248,Main Frame
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A418,"316 Stainless Steel Ring Shim 0.5mm Thick, 8mm ID, 10pk",640.318,2.0,1.248,2.496,Cap Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A418,"316 Stainless Steel Ring Shim 0.5mm Thick, 8mm ID, 10pk",<Extra>,7.0,1.248,8.736,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",341.335,1.0,1.2970000000000002,1.2970000000000002,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",470.304,15.0,1.2970000000000002,19.455000000000002,Side Seal Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",530.313,1.0,1.2970000000000002,1.2970000000000002,Cross Seal Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",640.323,1.0,1.2970000000000002,1.2970000000000002,Cap Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",<Extra>,2.0,1.2970000000000002,2.5940000000000003,
Purchase Order,2023-10-09,55198.0,McMaster-Carr Supply Co.,90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",<Extra>,20.0,1.2970000000000002,25.940000000000005,
Purchase Order,2023-10-18,55218.0,McMaster-Carr Supply Co.,90245A174,"Black-Phosphate Steel Key-Locking Inserts  with Thin Wall, M10 x 1.25 mm Thread Size",,4.0,5.46,21.84,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90245A175,"Black-Phosphate Steel Key-Locking Inserts with Thin Wall, M10 x 1.5 mm Thread Size",216.313,4.0,5.46,21.84,Unwind/Punch Station
Purchase Order,2023-11-27,55311.0,McMaster-Carr Supply Co.,90265A152,"18-8 Stainless Steel Shoulder Screw, 8 mm Shoulder Diameter, 16 mm Shoulder Length, M6 x 1 mm Th...",,4.0,5.39,21.56,
Purchase Order,2023-11-27,55311.0,McMaster-Carr Supply Co.,90265A349,"18-8 Stainless Steel Shoulder Screw, 12 mm Diameter x 45 mm Long Shoulder, M10 x 1.5 mm Thread",,4.0,13.03,52.12,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90278A541,"18-8 Stainless Steel Precision Shoulder Screw 4 mm Shoulder Diameter, 2 mm Shoulder Length, M3 x...",342.311,8.0,5.32,42.56,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",341.317,5.0,0.1575,0.7875,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",346.311,2.0,0.1575,0.315,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",470.306,6.0,0.1575,0.9450000000000001,Side Seal Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",640.314,4.0,0.1575,0.63,Cap Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",<Extra>,83.0,0.1575,13.0725,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90327A157,"Alloy Steel Low-Profile Socket Head Screws Hex Drive, Zinc Plated, M8 x 1.25 mm Thread, 20 mm Lo...",343.319,4.0,0.508,2.032,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90327A157,"Alloy Steel Low-Profile Socket Head Screws Hex Drive, Zinc Plated, M8 x 1.25 mm Thread, 20 mm Lo...",344.319,4.0,0.508,2.032,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90327A157,"Alloy Steel Low-Profile Socket Head Screws Hex Drive, Zinc Plated, M8 x 1.25 mm Thread, 20 mm Lo...",<Extra>,17.0,0.508,8.636,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,90373A136,"Extreme-Strength Hex Head Screw Class 12.9 Steel, M20 x 2.5 mm Thread, 50 mm Long",414.303,32.0,7.33,234.56,Side Seal Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,9056K85,"Multipurpose 6061 Aluminum Round Tube 0.065"" Wall Thickness, 3"" OD x 6""",244.302,2.0,27.21,54.42,Unwind/Punch Station
<Stock>,,,,90695A041,"Medium-Strength Zinc-Plated Steel Thin Hex Nut, Class 04, M10 x 1.5 mm Thread",341.324,15.0,0.0,0.0,Spout Station
<Stock>,,,,90695A041,"Medium-Strength Zinc-Plated Steel Thin Hex Nut, Class 04, M10 x 1.5 mm Thread",346.314,6.0,0.0,0.0,Spout Station
<Stock>,,,,90695A041,"Medium-Strength Zinc-Plated Steel Thin Hex Nut, Class 04, M10 x 1.5 mm Thread",470.321,9.0,0.0,0.0,Side Seal Station
<Stock>,,,,90695A041,"Medium-Strength Zinc-Plated Steel Thin Hex Nut, Class 04, M10 x 1.5 mm Thread",640.330,12.0,0.0,0.0,Cap Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91223A418,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw M4 x 0.70 mm Thread, 8 mm Long",332.307,8.0,4.07,32.56,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91223A418,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw M4 x 0.70 mm Thread, 8 mm Long",333.307,8.0,4.07,32.56,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91223A418,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw M4 x 0.70 mm Thread, 8 mm Long",334.305,4.0,4.07,16.28,Spout Station
Purchase Order,2023-09-14,55151.0,McMaster-Carr Supply Co.,91259A472,"Alloy Steel Shoulder Screw, 1/4"" Shoulder Diameter, 1-5/8"" Shoulder Length, 10-24 Thread",,4.0,9.3,37.2,
Purchase Order,2023-08-31,55124.0,McMaster-Carr Supply Co.,91263A826,"Zinc-Plated Alloy Steel Hex Drive Flat Head Screw M4 x 0.7 mm Thread, 6 mm Long, 100pk",<Extra>,100.0,0.0868,8.68,
Purchase Order,2023-09-07,55127.0,McMaster-Carr Supply Co.,91263A833,"Zinc-Plated Alloy Steel Hex Drive Flat Head Screw, M5 x 0.8 mm Thread, 12 mm Long, PKG 100",,1.0,10.05,10.05,
Purchase Order,2023-09-07,55127.0,McMaster-Carr Supply Co.,91263A932,"Zinc-Plated Alloy Steel Hex Drive Flat Head Screw, 90 Degree Countersink, M10 x 1.50 mm Thread, ...",,5.0,9.8,49.0,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A314,"18-8 Stainless Steel Socket Head Screw M3 x 0.50 mm Thread, 55 mm Long, 25pk",343.315,2.0,0.4144,0.8288,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A314,"18-8 Stainless Steel Socket Head Screw M3 x 0.50 mm Thread, 55 mm Long, 25pk",344.315,2.0,0.4144,0.8288,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A314,"18-8 Stainless Steel Socket Head Screw M3 x 0.50 mm Thread, 55 mm Long, 25pk",<Extra>,21.0,0.4144,8.702399999999999,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A425,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 140 mm Long",342.320,8.0,3.82,30.56,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A425,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 140 mm Long",343.318,4.0,3.82,15.28,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91292A425,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 140 mm Long",344.318,4.0,3.82,15.28,Spout Station
Purchase Order,2023-09-07,55127.0,McMaster-Carr Supply Co.,91306A660,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M4 x 0.7 mm Thread, 8 mm Long, PKG 100",,1.0,12.04,12.04,
Purchase Order,2023-09-07,55127.0,McMaster-Carr Supply Co.,91306A725,"Button Head Hex Drive Screws  Zinc-Plated Alloy Steel, M3 x 0.5 mm Thread, 30 mm Long, PKG 25",,2.0,7.87,15.74,
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A788,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 40 mm Long",341.336,5.0,1.2349999999999999,6.174999999999999,Spout Station
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A788,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 40 mm Long",640.331,4.0,1.2349999999999999,4.9399999999999995,Cap Station
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A788,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 40 mm Long",<Extra>,11.0,1.2349999999999999,13.584999999999999,
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A789,"5-pack, Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 45 mm Long",346.315,2.0,1.366,2.732,Spout Station
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A789,"5-pack, Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 45 mm Long",470.325,3.0,1.366,4.098000000000001,Side Seal Station
Purchase Order,2023-10-30,55262.0,McMaster-Carr Supply Co.,91306A789,"5-pack, Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 45 mm Long",<Extra>,5.0,1.366,6.83,
Purchase Order,2023-12-06,55328.0,McMaster-Carr Supply Co.,91390A129,"Alloy Steel Cup-Point Set Screw , M6 x 1 mm Thread, 12 mm Long, pkg 100",,1.0,10.8,10.8,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91390A133,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 20 mm Long, 50pk",342.310,8.0,0.2116,1.6928,Spout Station
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91390A133,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 20 mm Long, 50pk",<Extra>,42.0,0.2116,8.8872,
Purchase Order,2023-08-24,55088.0,McMaster-Carr Supply Co.,91390A552,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 50 mm Long, 25pk",413.305,28.0,0.5448,15.254399999999999,Side Seal Station
